transaction_id,account_no,transaction_type,amount,transaction_date
68,136,Deposit,339.48,2022-06-16 00:00:00
69,113,Withdrawal,804.95,2023-11-05 00:00:00
70,5,Withdrawal,251.11,2021-05-12 00:00:00
71,30,Deposit,826.57,2023-05-15 00:00:00
72,13,Withdrawal,346.07,2022-08-06 00:00:00
73,106,Deposit,870.24,2022-06-20 00:00:00
74,106,Deposit,406.86,2020-06-12 00:00:00
75,21,Withdrawal,271.04,2022-02-28 00:00:00
76,82,Withdrawal,243.61,2019-11-22 00:00:00
77,121,Withdrawal,738.35,2019-12-26 00:00:00
78,5,Withdrawal,551.68,2023-03-06 00:00:00
79,1,Withdrawal,703.02,2020-02-11 00:00:00
80,31,Withdrawal,449.90,2020-03-14 00:00:00
81,75,Withdrawal,565.22,2019-09-25 00:00:00
82,23,Withdrawal,201.60,2021-06-08 00:00:00
83,108,Deposit,896.09,2023-01-31 00:00:00
84,60,Deposit,963.97,2023-11-07 00:00:00
85,92,Deposit,652.38,2023-02-17 00:00:00
86,18,Deposit,756.75,2020-11-01 00:00:00
87,55,Deposit,587.63,2019-02-01 00:00:00
88,115,Deposit,156.66,2023-11-11 00:00:00
89,77,Withdrawal,521.89,2018-12-22 00:00:00
90,135,Withdrawal,939.32,2023-04-25 00:00:00
91,64,Deposit,951.16,2019-03-13 00:00:00
92,112,Deposit,628.16,2022-06-03 00:00:00
93,102,Deposit,822.49,2019-08-01 00:00:00
94,115,Deposit,407.16,2022-10-15 00:00:00
95,139,Deposit,124.11,2022-08-12 00:00:00
96,76,Withdrawal,706.21,2023-10-05 00:00:00
97,98,Deposit,513.24,2021-07-05 00:00:00
98,59,Withdrawal,622.08,2022-10-04 00:00:00
99,44,Deposit,285.86,2018-12-14 00:00:00
100,91,Deposit,630.32,2023-02-28 00:00:00
101,56,Deposit,145.32,2023-10-11 00:00:00
102,1,Deposit,620.27,2023-09-09 00:00:00
103,15,Deposit,795.83,2019-08-29 00:00:00
104,141,Withdrawal,637.47,2022-08-04 00:00:00
105,59,Withdrawal,558.71,2023-10-16 00:00:00
106,149,Deposit,930.37,2021-12-28 00:00:00
107,13,Withdrawal,414.60,2020-11-25 00:00:00
108,68,Withdrawal,475.73,2021-05-02 00:00:00
109,137,Withdrawal,626.26,2023-04-28 00:00:00
110,142,Deposit,128.35,2022-11-24 00:00:00
111,19,Withdrawal,680.22,2021-01-14 00:00:00
112,47,Withdrawal,437.06,2022-08-12 00:00:00
113,77,Withdrawal,185.72,2021-09-28 00:00:00
114,117,Deposit,971.34,2020-12-29 00:00:00
115,146,Deposit,141.25,2022-08-17 00:00:00
116,44,Deposit,904.37,2022-05-28 00:00:00
117,65,Deposit,388.01,2021-02-28 00:00:00
118,52,Deposit,737.19,2019-09-14 00:00:00
119,43,Deposit,440.88,2021-12-03 00:00:00
120,20,Deposit,858.68,2018-11-18 00:00:00
121,56,Withdrawal,498.86,2022-04-04 00:00:00
122,92,Withdrawal,444.10,2020-04-29 00:00:00
123,91,Withdrawal,390.52,2023-09-09 00:00:00
124,109,Deposit,580.96,2019-05-09 00:00:00
125,58,Deposit,488.29,2019-04-05 00:00:00
126,8,Withdrawal,468.11,2023-06-23 00:00:00
127,95,Deposit,922.82,2021-07-08 00:00:00
128,104,Deposit,430.48,2018-12-25 00:00:00
129,82,Withdrawal,875.23,2019-08-15 00:00:00
130,36,Withdrawal,557.80,2023-04-11 00:00:00
131,81,Withdrawal,846.98,2022-10-26 00:00:00
132,52,Withdrawal,870.90,2020-06-23 00:00:00
133,26,Withdrawal,901.12,2020-11-02 00:00:00
134,145,Withdrawal,475.04,2022-10-27 00:00:00
135,11,Withdrawal,181.12,2020-12-30 00:00:00
136,40,Deposit,293.85,2020-06-03 00:00:00
137,65,Withdrawal,973.94,2019-05-30 00:00:00
138,144,Withdrawal,272.34,2021-09-20 00:00:00
139,131,Deposit,392.67,2022-02-24 00:00:00
140,106,Withdrawal,650.16,2021-05-18 00:00:00
141,38,Deposit,696.08,2023-08-02 00:00:00
142,6,Deposit,122.18,2019-10-03 00:00:00
143,5,Deposit,626.36,2023-01-30 00:00:00
144,149,Deposit,642.89,2022-09-26 00:00:00
145,148,Deposit,218.38,2019-07-06 00:00:00
146,43,Deposit,173.35,2018-11-30 00:00:00
147,106,Withdrawal,788.33,2019-08-10 00:00:00
148,95,Deposit,704.71,2019-05-06 00:00:00
149,101,Deposit,119.79,2020-10-13 00:00:00
150,72,Withdrawal,135.08,2018-12-18 00:00:00
151,4,Deposit,866.22,2022-01-18 00:00:00
152,102,Deposit,378.40,2020-01-25 00:00:00
153,113,Deposit,655.80,2023-06-09 00:00:00
154,127,Deposit,692.80,2020-11-26 00:00:00
155,22,Withdrawal,323.54,2021-06-06 00:00:00
156,122,Deposit,836.65,2020-09-12 00:00:00
157,105,Withdrawal,313.04,2019-10-19 00:00:00
158,86,Deposit,959.44,2018-11-14 00:00:00
159,51,Withdrawal,368.38,2022-12-30 00:00:00
160,114,Deposit,808.30,2022-06-20 00:00:00
161,81,Deposit,465.03,2022-02-01 00:00:00
162,149,Withdrawal,867.31,2022-01-08 00:00:00
163,111,Deposit,655.34,2021-09-16 00:00:00
164,17,Deposit,209.88,2022-03-18 00:00:00
165,26,Deposit,973.82,2020-10-22 00:00:00
166,30,Withdrawal,326.94,2021-08-30 00:00:00
167,84,Withdrawal,453.55,2020-12-04 00:00:00
168,26,Withdrawal,245.65,2021-10-09 00:00:00
169,101,Deposit,462.80,2019-01-11 00:00:00
170,85,Deposit,802.33,2020-05-27 00:00:00
171,49,Withdrawal,359.63,2020-03-04 00:00:00
172,44,Deposit,811.30,2023-08-04 00:00:00
173,65,Withdrawal,454.67,2019-10-24 00:00:00
174,122,Withdrawal,996.70,2022-11-30 00:00:00
175,22,Deposit,548.33,2021-09-10 00:00:00
176,45,Deposit,999.76,2021-06-03 00:00:00
177,15,Deposit,985.53,2020-10-14 00:00:00
178,59,Withdrawal,440.65,2020-06-25 00:00:00
179,97,Deposit,361.28,2021-12-13 00:00:00
180,9,Withdrawal,260.84,2020-10-29 00:00:00
181,62,Withdrawal,660.54,2021-06-11 00:00:00
182,47,Withdrawal,370.30,2021-11-01 00:00:00
183,47,Withdrawal,961.80,2021-07-15 00:00:00
184,74,Deposit,314.85,2021-03-25 00:00:00
185,128,Deposit,114.93,2019-08-01 00:00:00
186,64,Withdrawal,400.47,2022-09-29 00:00:00
187,59,Withdrawal,988.24,2020-05-10 00:00:00
188,132,Withdrawal,621.36,2018-12-03 00:00:00
189,15,Withdrawal,665.53,2020-06-17 00:00:00
190,82,Withdrawal,825.61,2020-09-10 00:00:00
191,150,Withdrawal,349.71,2022-01-11 00:00:00
192,34,Deposit,278.04,2019-07-01 00:00:00
193,54,Withdrawal,695.50,2022-07-10 00:00:00
194,37,Deposit,722.18,2021-07-29 00:00:00
195,61,Withdrawal,244.92,2022-01-19 00:00:00
196,71,Deposit,895.71,2023-08-27 00:00:00
197,120,Withdrawal,579.42,2023-01-29 00:00:00
198,139,Withdrawal,826.79,2019-12-25 00:00:00
199,56,Withdrawal,831.92,2022-11-19 00:00:00
200,144,Deposit,968.13,2023-01-19 00:00:00
